,Unnamed: 0,tweet,hash,stopped,lemmaed
2,2,mo di the best man win,indiaelections2019,mo di best man win,mo di best man win
3,3,good that modi biopic is ban till but ec wt aboutmodi merchandise amp namotv,loksabhaelections2019,good modi biopic ban till ec wt aboutmodi merchandise amp namotv,good modi biopic ban till ec wt aboutmodi merchandise amp namotv
4,4,mo di best man win,indiaelections2019,mo di best man win,mo di best man win
5,5,now we can basically see what a promise from the opposition looks like,loksabhaelections2019,basically see promise opposition looks like,basically see promise opposition look like
6,6,in a first two women are contesting lok sabha polls from mizoram arunachal,loksabhaelections2019,first two women contesting lok sabha polls mizoram arunachal,first two woman contesting lok sabha poll mizoram arunachal
7,7,the vote is precious its almost sacred so go out and vote like you never voted before,loksabhaelections2019,vote precious almost sacred go vote like never voted,vote precious almost sacred go vote like never voted
8,8,dont be misled focus on the issues that are important for the future of india cast your vote wisely,loksabhaelections2019,dont misled focus issues important future india cast vote wisely,dont misled focus issue important future india cast vote wisely
9,9,vote this scum bjp out starting tomorrow,indiaelections2019,vote scum bjp starting tomorrow,vote scum bjp starting tomorrow
10,10,give an award for speaking truth,chowkidarchorhai,give award speaking truth,give award speaking truth
11,11,factbox boats votes and booze indias massive general election,indiaelections2019,factbox boats votes booze indias massive general election,factbox boat vote booze india massive general election
12,12,aaway aaway kanhaiyakumar aaway,loksabhaelections2019,aaway aaway kanhaiyakumar aaway,aaway aaway kanhaiyakumar aaway
13,13,check your votespolling booth,indiaelections2019,check votespolling booth,check votespolling booth
15,15,make informed choice,loksabhaelections2019,make informed choice,make informed choice
17,17,part ii nyay complements pmkisan in fighting poverty and inequality prasannamohanty,loksabhaelections2019,part ii nyay complements pmkisan fighting poverty inequality prasannamohanty,part ii nyay complement pmkisan fighting poverty inequality prasannamohanty
18,18,2019 lok sabha elections seven constituencies in maharashtras vidarbha set to vote,loksabhaelections2019,2019 lok sabha elections seven constituencies maharashtras vidarbha set vote,2019 lok sabha election seven constituency maharashtra vidarbha set vote
19,19,is it just me or is maharashtra looking more and more difficult for bjp4india with every passing day,loksabhaelections2019,maharashtra looking difficult bjp4india every passing day,maharashtra looking difficult bjp4india every passing day
20,20,this is what i have been seeing for many years,loksabhaelections2019,seeing many years,seeing many year
22,22,vishvvv rampuniyani1945 belagavirailway pratikdutta basantdubey0 manuconsultants,loksabhaelections2019,vishvvv rampuniyani1945 belagavirailway pratikdutta basantdubey0 manuconsultants,vishvvv rampuniyani1945 belagavirailway pratikdutta basantdubey0 manuconsultants
23,23,dear hindus vote bjp,loksabhaelections2019,dear hindus vote bjp,dear hindu vote bjp
24,24,make an informed choice,loksabhaelections2019,make informed choice,make informed choice
25,25,its all about the imaginary 2 fucking abrahamic gods,loksabhaelections2019,imaginary 2 fucking abrahamic gods,imaginary 2 fucking abrahamic god
26,26,lok sabha elections 2019 ec stalls release of modi biopic lens on namo tv,loksabhaelections2019,lok sabha elections 2019 ec stalls release modi biopic lens namo tv,lok sabha election 2019 ec stall release modi biopic lens namo tv
27,27,lok sabha elections 2019 goodwill hunting along the northeast valley,loksabhaelections2019,lok sabha elections 2019 goodwill hunting along northeast valley,lok sabha election 2019 goodwill hunting along northeast valley
29,29,vote india vote please make sure you get your voices heard,loksabhaelections2019,vote india vote please make sure get voices heard,vote india vote please make sure get voice heard
32,32,lets go and vote for having a better impact on society,loksabhaelections2019,lets go vote better impact society,let go vote better impact society
33,33,ninetyone constituencies go to polls in phase 1 of today,loksabhaelections2019,ninetyone constituencies go polls phase 1 today,ninetyone constituency go poll phase 1 today
34,34,ninetyone constituencies go to polls in phase 1 of today livemint,loksabhaelections2019,ninetyone constituencies go polls phase 1 today livemint,ninetyone constituency go poll phase 1 today livemint
35,35,rahulgandhi priyankagandhi irobertvadra jmscindia divyaspandana,loksabhaelections2019,rahulgandhi priyankagandhi irobertvadra jmscindia divyaspandana,rahulgandhi priyankagandhi irobertvadra jmscindia divyaspandana
36,36,phase 1,indiaelections2019,phase 1,phase 1
38,38,vote for your future,loksabhaelections2019,vote future,vote future
40,40,koi congressi nahi batata hai,indiaelections2019,koi congressi nahi batata hai,koi congressi nahi batata hai
41,41,joyjyo16 akkireddyg drranjithreddy joyjyo16 may 23 resultrest amp recreation aucklandinvite,loksabhaelections2019,joyjyo16 akkireddyg drranjithreddy joyjyo16 may 23 resultrest amp recreation aucklandinvite,joyjyo16 akkireddyg drranjithreddy joyjyo16 may 23 resultrest amp recreation aucklandinvite
42,42,a phenomenal tool for journos and others looking to understand more about the,loksabhaelection2019,phenomenal tool journos others looking understand,phenomenal tool journos others looking understand
43,43,vote the bjp out save the country both economically and socially,indiaelections2019,vote bjp save country economically socially,vote bjp save country economically socially
44,44,maharashtra mock polling for underway at booth number 255 in nagpur,loksabhaelections2019,maharashtra mock polling underway booth number 255 nagpur,maharashtra mock polling underway booth number 255 nagpur
45,45,remember these things when you vote for,loksabhaelections2019,remember things vote,remember thing vote
46,46,vote carefully amp sensibly india,loksabhaelections2019,vote carefully amp sensibly india,vote carefully amp sensibly india
48,48,all you need to know about 91 seats going to polls in first phase,loksabhaelections2019,need know 91 seats going polls first phase,need know 91 seat going poll first phase
49,49,phase1 polling live big battle begins today oneindia,loksabhaelections2019,phase1 polling live big battle begins today oneindia,phase1 polling live big battle begin today oneindia
50,50,maharashtra preparation underway for at booth number 284 in gondia for the gondia parliamentary constituency,loksabhaelections2019,maharashtra preparation underway booth number 284 gondia gondia parliamentary constituency,maharashtra preparation underway booth number 284 gondia gondia parliamentary constituency
51,51,rahul not in pm race he is fighting elections just to defeat modi ncps sharad pawar,loksabhaelections2019,rahul pm race fighting elections defeat modi ncps sharad pawar,rahul pm race fighting election defeat modi ncps sharad pawar
52,52,google celebrates beginning of worlds largest elections with a doodle,loksabhaelections2019,google celebrates beginning worlds largest elections doodle,google celebrates beginning world largest election doodle
53,53,lok sabha elections 2019 in first phase of mega lok sabha battle voting today on 91 seats,loksabhaelections2019,lok sabha elections 2019 first phase mega lok sabha battle voting today 91 seats,lok sabha election 2019 first phase mega lok sabha battle voting today 91 seat
54,54,dear animeshsng use your right for the right of nation please do vote,loksabhaelections2019,dear animeshsng use right right nation please vote,dear animeshsng use right right nation please vote
55,55,dont waste food dont waste money and never waste your vote,indiaelections2019,dont waste food dont waste money never waste vote,dont waste food dont waste money never waste vote
56,56,election for the soul of india,indiaelections2019,election soul india,election soul india
57,57,bismillah,loksabhaelections2019,bismillah,bismillah
58,58,its 2019 and rahul is still asking for votes in name of his family,loksabhaelections2019,2019 rahul still asking votes name family,2019 rahul still asking vote name family
59,59,live first phase of polling for 91 seats in 20 states to begin shortly,loksabhaelections2019,live first phase polling 91 seats 20 states begin shortly,live first phase polling 91 seat 20 state begin shortly
60,60,the officially begin,loksabhaelections2019,officially begin,officially begin
61,61,happy voting everyone,loksabhaelections2019,happy voting everyone,happy voting everyone
62,62,let the festival of democracy begin,loksabhaelections2019,let festival democracy begin,let festival democracy begin
63,63,rahulgandhi,loksabhaelections2019,rahulgandhi,rahulgandhi
64,64,vote responsibly,loksabhaelections2019,vote responsibly,vote responsibly
66,66,manipur wakes up,namoagain,manipur wakes,manipur wake
67,67,waiting for ncbn to come and vote,loksabhaelections2019,waiting ncbn come vote,waiting ncbn come vote
68,68,interesting fight in bengal haddahaddi fight which side will people go stay tuned with zee24ghanta,loksabhaelections2019,interesting fight bengal haddahaddi fight side people go stay tuned zee24ghanta,interesting fight bengal haddahaddi fight side people go stay tuned zee24ghanta
69,69,seems to be a worst managed election by election commission aided by govt itself,indiaelections2019,seems worst managed election election commission aided govt,seems worst managed election election commission aided govt
70,70,1st phase polling starts today big day at workstay tuned to mirror now,loksabhaelections2019,1st phase polling starts today big day workstay tuned mirror,1st phase polling start today big day workstay tuned mirror
71,71,please try to make it look like a festival of democracy and not dance of death,loksabhaelections2019,please try make look like festival democracy dance death,please try make look like festival democracy dance death
73,73,narendramodi bjp4karnataka,modioncemore,narendramodi bjp4karnataka,narendramodi bjp4karnataka
74,74,,nikhilyelliddeeyappamaganey,,
75,75,best of luck to my all indians voters good morning,loksabhaelections2019,best luck indians voters good morning,best luck indian voter good morning
78,78,so the festival of democracy commences today,loksabhaelections2019,festival democracy commences today,festival democracy commences today
79,79,mind boggling,loksabhaelections2019,mind boggling,mind boggling
80,80,is there any websiteapp where we can see all the candidates of a specific constituency,loksabhaelections2019,websiteapp see candidates specific constituency,websiteapp see candidate specific constituency
81,81,and it begins,loksabhaelections2019,begins,begin
